cve_mun,municipio,estado,poblacion,tasa_hom_2019s1,tasa_hom_2026s1,delta_homicidio_pct,tasa_control_2019s1,tasa_control_2026s1,delta_control_pct,cuadrante,score
30048,Cosoleacaque,Veracruz,133308,20.35,8.25,-59.5,6.78,44.26,552.5,Q2,611.9
30061,Las Choapas,Veracruz,80818,32.76,3.71,-88.7,8.49,71.77,744.9,Q2,833.5
30087,Xalapa,Veracruz,500266,10.71,1.6,-85.1,23.85,62.17,160.7,Q2,245.7
30102,Martínez de la Torre,Veracruz,108995,18.97,7.34,-61.3,22.58,72.48,221.0,Q2,282.3
30108,Minatitlán,Veracruz,137182,27.59,9.48,-65.7,9.42,74.35,689.3,Q2,754.9
30109,Misantla,Veracruz,67873,16.53,7.37,-55.4,12.02,50.09,316.6,Q2,372.0
30118,Orizaba,Veracruz,120904,7.97,2.48,-68.9,15.94,38.87,143.8,Q2,212.7
30123,Pánuco,Veracruz,94055,11.2,3.19,-71.5,6.11,52.1,752.9,Q2,824.4
30124,Papantla,Veracruz,159782,14.15,15.02,6.1,11.08,53.2,380.2,Q3,374.1
30131,Poza Rica de Hidalgo,Veracruz,189227,9.81,8.98,-8.4,16.52,33.82,104.8,Q2,113.2
30160,Álamo Temapache,Veracruz,110831,10.14,9.93,-2.1,5.53,63.16,1042.2,Q2,1044.3
30174,Tierra Blanca,Veracruz,93831,13.21,3.2,-75.8,5.08,55.42,990.8,Q2,1066.5
30175,Tihuatlán,Veracruz,91764,10.57,4.36,-58.8,6.34,47.95,656.2,Q2,715.0
30189,Tuxpan,Veracruz,148280,5.7,13.49,136.7,13.3,73.51,452.8,Q3,316.1
30193,Veracruz,Veracruz,625920,7.3,1.6,-78.1,10.21,30.04,194.1,Q2,272.2
31050,Mérida,Yucatán,1087930,0.9,0.37,-59.2,19.55,7.72,-60.5,Q1,-1.3
32010,Fresnillo,Zacatecas,258315,22.24,1.94,-91.3,44.49,39.87,-10.4,Q1,80.9
32017,Guadalupe,Zacatecas,239769,23.21,0.83,-96.4,27.0,62.14,130.2,Q2,226.6
32056,Zacatecas,Zacatecas,156095,19.82,1.28,-93.5,44.92,108.91,142.4,Q2,236.0
